Date,Open,High,Low,Close,Adj Close,Volume,RSI
2/10/2020,78.544998,80.387497,78.462502,80.387497,79.888359,109348800,55.2261
2/11/2020,80.900002,80.974998,79.677498,79.902496,79.406372,94323200,51.4332
2/12/2020,80.3675,81.805,80.3675,81.800003,81.292099,113730400,62.9272
2/13/2020,81.047501,81.555,80.837502,81.217499,80.713219,94747600,58.06
2/14/2020,81.184998,81.495003,80.712502,81.237503,80.733086,80113600,58.1882
2/18/2020,78.839996,79.9375,78.652496,79.75,79.254822,152531200,46.1022
2/19/2020,80,81.142502,80,80.904999,80.402649,93984000,54.5584
2/20/2020,80.657501,81.162498,79.552498,80.074997,79.577805,100566000,48.2779
2/21/2020,79.654999,80.112503,77.625,78.262497,77.776558,129554000,37.4231
2/24/2020,74.315002,76.044998,72.307503,74.544998,74.082146,222195200,24.426
2/25/2020,75.237503,75.6325,71.532501,72.019997,71.572823,230673600,19.2
2/26/2020,71.6325,74.470001,71.625,73.162498,72.708221,198054800,27.3186
2/27/2020,70.275002,71.5,68.239998,68.379997,67.955421,320605600,18.3926
2/28/2020,64.315002,69.602501,64.092499,68.339996,67.915665,426884800,18.3348
3/2/2020,70.57,75.360001,69.43,74.702499,74.238663,341397200,48.2116
3/3/2020,75.917503,76,71.449997,72.330002,71.880898,319475600,41.6548
3/4/2020,74.110001,75.849998,73.282501,75.684998,75.215065,219178400,52.2507
3/5/2020,73.879997,74.887497,72.852501,73.230003,72.775307,187572800,45.3041
3/6/2020,70.5,72.705002,70.307503,72.2575,71.808846,226176800,42.7088
3/9/2020,65.9375,69.522499,65.75,66.542503,66.129333,286744800,30.7602
3/10/2020,69.285004,71.610001,67.342499,71.334999,70.892075,285290000,45.5106
3/11/2020,69.347504,70.305,67.964996,68.857498,68.429955,255598800,40.3795
3/12/2020,63.985001,67.5,62,62.057499,61.672176,418474000,29.7552
3/13/2020,66.222504,69.980003,63.237499,69.4925,69.061012,370732000,47.2613
3/16/2020,60.487499,64.769997,60,60.552502,60.176525,322423600,35.1186
3/17/2020,61.877499,64.402496,59.599998,63.215,62.822491,324056000,40.3822
3/18/2020,59.942501,62.5,59.279999,61.6675,61.284599,300233600,38.2985
3/19/2020,61.8475,63.209999,60.6525,61.195,60.815033,271857200,37.6147
3/20/2020,61.794998,62.9575,57,57.310001,56.954155,401693200,32.1662
3/23/2020,57.02,57.125,53.1525,56.092499,55.744217,336752800,30.5653
3/24/2020,59.09,61.922501,58.575001,61.720001,61.336773,287531200,45.13
3/25/2020,62.6875,64.5625,61.075001,61.380001,60.998886,303602000,44.4796
3/26/2020,61.630001,64.669998,61.59,64.610001,64.208832,252087200,52.0542
3/27/2020,63.1875,63.967499,61.762501,61.935001,61.550438,204216800,46.0506
3/30/2020,62.685001,63.880001,62.349998,63.702499,63.306961,167976400,51.012
3/31/2020,63.900002,65.622498,63,63.572498,63.177769,197002000,50.56
4/1/2020,61.625,62.18,59.782501,60.227501,59.853539,176218400,38.7099
4/2/2020,60.084999,61.287498,59.224998,61.232498,60.852295,165934000,43.9646
4/3/2020,60.700001,61.424999,59.7425,60.352501,59.977768,129880000,40.4599
4/6/2020,62.724998,65.777496,62.345001,65.6175,65.210068,201820400,61.5949
4/7/2020,67.699997,67.925003,64.75,64.857498,64.454796,202887200,58.1565
4/8/2020,65.684998,66.842499,65.307503,66.517502,66.104485,168895200,63.3173
4/9/2020,67.175003,67.517502,66.175003,66.997498,66.581505,162116400,64.7671
4/13/2020,67.077499,68.425003,66.457497,68.3125,67.888336,131022800,68.6801
4/14/2020,70,72.0625,69.512497,71.762497,71.31691,194994800,76.5605
4/15/2020,70.599998,71.582497,70.157501,71.107498,70.665985,131154400,72.561
4/16/2020,71.845001,72.050003,70.587502,71.672501,71.22747,157125200,73.9172
4/17/2020,71.172501,71.737503,69.214996,70.699997,70.261017,215250000,67.3101
4/20/2020,69.487503,70.419998,69.212502,69.232498,68.80262,130015200,58.2453
4/21/2020,69.07,69.3125,66.357498,67.092499,66.675911,180991600,47.4851
4/22/2020,68.402496,69.474998,68.050003,69.025002,68.596413,117057200,55.962
4/23/2020,68.967499,70.4375,68.717499,68.7575,68.330582,124814400,54.5555
4/24/2020,69.300003,70.752502,69.25,70.7425,70.303253,126508800,62.6032
4/27/2020,70.449997,71.135002,69.987503,70.792503,70.352943,117087600,62.7947
4/28/2020,71.269997,71.457497,69.550003,69.644997,69.212555,112004800,55.2967
4/29/2020,71.182503,72.417503,70.972504,71.932503,71.485863,137280800,64.929
4/30/2020,72.489998,73.6325,72.087502,73.449997,72.993935,183064000,64.8944
5/1/2020,71.5625,74.75,71.462502,72.267502,71.818787,240616800,62.0016
5/4/2020,72.292503,73.422501,71.580002,73.290001,72.83493,133568000,65.8493
5/5/2020,73.764999,75.25,73.614998,74.389999,73.928101,147751200,69.6625
5/6/2020,75.114998,75.809998,74.717499,75.157501,74.690842,142333600,72.1647
5/7/2020,75.805,76.292503,75.4925,75.934998,75.463509,115215200,74.6122
5/8/2020,76.410004,77.587502,76.072502,77.532501,77.259674,134048000,78.9917
5/11/2020,77.025002,79.262497,76.809998,78.752502,78.475372,145946400,81.7637
5/12/2020,79.457497,79.922501,77.727501,77.852501,77.578537,162301200,73.5077
5/13/2020,78.037498,78.987503,75.802498,76.912498,76.641853,200622400,65.5332
5/14/2020,76.127502,77.447502,75.3825,77.385002,77.112686,158929200,67.5735
5/15/2020,75.087502,76.974998,75.052498,76.927498,76.656792,166348400,63.3818
5/18/2020,78.292503,79.125,77.580002,78.739998,78.462914,135372400,74.4714
5/19/2020,78.7575,79.629997,78.252502,78.285004,78.009521,101729600,67.173
5/20/2020,79.169998,79.879997,79.129997,79.807503,79.526665,111504800,73.3591
5/21/2020,79.665001,80.222504,78.967499,79.212502,78.933754,102688800,67.6136
5/22/2020,78.942497,79.807503,78.837502,79.722504,79.441963,81803200,69.9419
5/26/2020,80.875,81.059998,79.125,79.182503,78.903862,125522000,64.2948
5/27/2020,79.035004,79.677498,78.272499,79.527496,79.247643,112945200,66.3006
5/28/2020,79.192497,80.860001,78.907501,79.5625,79.282524,133560800,66.5208
5/29/2020,79.8125,80.287498,79.1175,79.485001,79.205299,153598000,65.4287
6/1/2020,79.4375,80.587502,79.302498,80.462502,80.179359,80791200,72.0957
6/2/2020,80.1875,80.860001,79.732498,80.834999,80.550545,87642800,74.2768
6/3/2020,81.165001,81.550003,80.574997,81.279999,80.99398,104491200,76.7788
6/4/2020,81.097504,81.404999,80.195,80.580002,80.296448,87560400,65.258
6/5/2020,80.837502,82.9375,80.807503,82.875,82.583374,137250400,77.8381
6/8/2020,82.5625,83.400002,81.830002,83.364998,83.07164,95654400,79.6531
6/9/2020,83.035004,86.402496,83.002502,85.997498,85.694878,147712400,86.5046
6/10/2020,86.974998,88.692497,86.522499,88.209999,87.89959,166651600,89.8267
6/11/2020,87.327499,87.764999,83.870003,83.974998,83.679497,201662400,58.19
6/12/2020,86.18,86.949997,83.555,84.699997,84.401947,200146000,60.9094
